Unicode_Value, Character Name
\U00000531, ARMENIAN CAPITAL LETTER AYB
\U00000532, ARMENIAN CAPITAL LETTER BEN 
\U00000533, ARMENIAN CAPITAL LETTER GIM
\U00000534, ARMENIAN CAPITAL LETTER DA
\U00000535, ARMENIAN CAPITAL LETTER ECH
\U00000536, ARMENIAN CAPITAL LETTER ZA
\U00000537, ARMENIAN CAPITAL LETTER EH
\U00000538, ARMENIAN CAPITAL LETTER ET
\U00000539, ARMENIAN CAPITAL LETTER TO
\U0000053A, ARMENIAN CAPITAL LETTER ZHE
\U0000053B, ARMENIAN CAPITAL LETTER INI
\U0000053C, ARMENIAN CAPITAL LETTER LIWN
\U0000053D, ARMENIAN CAPITAL LETTER XEH
\U0000053E, ARMENIAN CAPITAL LETTER CA
\U0000053F, ARMENIAN CAPITAL LETTER KEN
\U00000540, ARMENIAN CAPITAL LETTER HO
\U00000541, ARMENIAN CAPITAL LETTER JA
\U00000542, ARMENIAN CAPITAL LETTER GHAD
\U00000543, ARMENIAN CAPITAL LETTER CHEH
\U00000544, ARMENIAN CAPITAL LETTER MEN
\U00000545, ARMENIAN CAPITAL LETTER YI
\U00000546, ARMENIAN CAPITAL LETTER NOW
\U00000547, ARMENIAN CAPITAL LETTER SHA
\U00000548, ARMENIAN CAPITAL LETTER VO
\U00000549, ARMENIAN CAPITAL LETTER CHA
\U0000054A, ARMENIAN CAPITAL LETTER PEH
\U0000054B, ARMENIAN CAPITAL LETTER JHEH
\U0000054C, ARMENIAN CAPITAL LETTER RA
\U0000054D, ARMENIAN CAPITAL LETTER SEH
\U0000054E, ARMENIAN CAPITAL LETTER VEW
\U0000054F, ARMENIAN CAPITAL LETTER TIWN
\U00000550, ARMENIAN CAPITAL LETTER REH
\U00000551, ARMENIAN CAPITAL LETTER CO
\U00000552, ARMENIAN CAPITAL LETTER YWIN
\U00000553, ARMENIAN CAPITAL LETTER PIWR
\U00000554, ARMENIAN CAPITAL LETTER KEH
\U00000555, ARMENIAN CAPITAL LETTER OH
\U00000556, ARMENIAN CAPITAL LETTER FEH
